pair.n,sp1.english,sp2.english,sp1.treename,sp2.treename,sp1.family,sp2.family2,IT.classif,hybrid.ok,BL.BBS.eBird_Sympatry,BBSe.syntopy1u,BBSe.syntopy2u,BBSe.syntopyOu,logBBSe.syntopy1u,logBBSe.syntopy2u,logBBSe.syntopyOu,patristic.distance,Plumage.mean.score,sp1.guild1,sp1.guild2,sp1.guild3,sp2.guild1,sp2.guild2,sp2.guild3,samefoodtype,samesubstrate,sametechnique,guildoverlap.sum,proportion.shared.axes,sp1.hole.nester,sp2.hole.nester,both.hole.nester,sp1.territory.type,sp2.territory.type,same.territory.type,sp1.habitat.complexity,sp2.habitat.complexity,max.habitat.complexity,sp1.male.bill.len,sp1.female.bill.len,sp2.male.bill.len,sp2.female.bill.len,sp1.mass,sp2.mass,song.pcdists.std,mean.max.xcor,animal,species1,species2,mass.diff.sqrt,bill.diff.sqrt,same.family,both.migratory,both.resident,plumage.diff.sq,sympatry.sq,simple.habitat
1,Scissor-tailed Flycatcher,Eastern Kingbird,Tyrannus_forficatus,Tyrannus_tyrannus,Tyrannidae,Tyrannidae,0,0,0.735132486,0.442992672,1.785290354,0.021676321,-0.79187933,0.585166766,-3.452185849,15.60071366,2.875,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,2,2,15.06333333,14.57,15.425,13.7,39.3,42.2,6.339749822,0.196061745,Node27,Tyrannus_tyrannus,Tyrannus_forficatus,0.266825228,0.154032579,1,1,0,8.265625,0.540419772,0
2,Scissor-tailed Flycatcher,Western Kingbird,Tyrannus_forficatus,Tyrannus_verticalis,Tyrannidae,Tyrannidae,1,1,0.571793531,0.237335227,1.157234169,0.054680405,-1.397010668,0.154636992,-2.738296983,2.368768028,2.716666667,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,4,0,2,1,2,15.06333333,14.57,18.3,17.3,39.3,39.6,4.386951744,0.242174855,Node30,Tyrannus_forficatus,Tyrannus_verticalis,0.087204354,0.441177431,1,1,0,7.38027778,0.326947842,0
3,Scissor-tailed Flycatcher,Cassin's Kingbird,Tyrannus_forficatus,Tyrannus_vociferans,Tyrannidae,Tyrannidae,0,0,0.083237989,0.09843939,1.026529346,0.030359553,-2.22156388,0.035877965,-3.209927159,15.60071366,2.4375,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,4,0,2,3,3,15.06333333,14.57,19.75,18.3,39.3,45.6,6.785556009,0.215942626,Node27,Tyrannus_forficatus,Tyrannus_vociferans,0.385594603,0.520470899,1,1,0,5.94140625,0.006928563,0
4,Scissor-tailed Flycatcher,Great Crested Flycatcher,Tyrannus_forficatus,Myiarchus_crinitus,Tyrannidae,Tyrannidae,0,0,0.685548232,0.232794217,0.773345324,0.038121632,-1.415541038,-0.244181653,-3.034023473,28.79781301,3.151785715,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,yes,0,5,5,1,2,3,3,15.06333333,14.57,18.72773102,18.50765101,39.3,32.1,8.463623155,0.268530131,Node22,Myiarchus_crinitus,Tyrannus_forficatus,0.449853853,0.466628153,1,1,0,9.933753193,0.469976378,0
5,Scissor-tailed Flycatcher,Ash-throated Flycatcher,Tyrannus_forficatus,Myiarchus_cinerascens,Tyrannidae,Tyrannidae,0,0,0.343024614,0.273778149,0.855087929,0.049160136,-1.259562512,-0.144924125,-2.827507342,28.79781301,2.875,insectivoreairsallier,NA,NA,insectivoreairsallier,insectivorelowercanopygleaner,NA,1,1,1,3,0.666666667,no,yes,0,5,5,1,2,3,3,15.06333333,14.57,19.3,18.8,39.3,28.2,10.97794987,0.390763138,Node22,Myiarchus_cinerascens,Tyrannus_forficatus,0.576109834,0.497836882,1,1,0,8.265625,0.117665886,0
6,Scissor-tailed Flycatcher,Eastern Phoebe,Tyrannus_forficatus,Sayornis_phoebe,Tyrannidae,Tyrannidae,0,0,0.583981841,0.124443151,0.406364187,0.022580901,-2.006613838,-0.876194952,-3.424029021,36.59546793,3.185714286,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.06333333,14.57,14.5,14.4,39.3,18.7,5.738437874,0.188613643,Node4,Sayornis_phoebe,Tyrannus_forficatus,0.861801018,0.195230339,1,1,0,10.14877551,0.341034791,0
7,Scissor-tailed Flycatcher,Say's Phoebe,Tyrannus_forficatus,Sayornis_saya,Tyrannidae,Tyrannidae,0,0,0.166726289,0.077331028,0.798254103,0.007862385,-2.438049461,-0.212878786,-4.025058174,36.59546793,1.958333333,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,1,2,15.06333333,14.57,15.7,14.4,39.3,20.9,9.410856109,0.299139146,Node4,Sayornis_saya,Tyrannus_forficatus,0.794654239,0.203462964,1,1,0,3.835069443,0.027797655,0
8,Scissor-tailed Flycatcher,Eastern Wood-Pewee,Tyrannus_forficatus,Contopus_virens,Tyrannidae,Tyrannidae,0,0,0.552899061,0.163010366,0.736347538,0.015274911,-1.754403767,-0.292563919,-3.677943035,36.59546793,2.800505051,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.06333333,14.57,12.9,11.7,39.3,13.9,8.459868293,-0.021009712,Node4,Tyrannus_forficatus,Contopus_virens,1.01947814,0.393746394,1,1,0,7.842828541,0.305697372,0
9,Scissor-tailed Flycatcher,Cordilleran Flycatcher,Tyrannus_forficatus,Empidonax_occidentalis,Tyrannidae,Tyrannidae,0,0,0.026902775,0.02719522,0.192919931,0.004057817,-3.291575021,-1.594943806,-4.264576668,36.59546794,3.577272728,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.06333333,14.57,11.09582499,11.19684533,39.3,11.6,8.208934423,0.182147346,Node4,Empidonax_occidentalis,Tyrannus_forficatus,1.104635424,0.552896576,1,1,0,12.79688017,0.000723759,0
10,Scissor-tailed Flycatcher,Vermilion Flycatcher,Tyrannus_forficatus,Pyrocephalus_rubinus,Tyrannidae,Tyrannidae,0,0,0.204969975,0.330749806,1.12753951,0.008331148,-1.076606778,0.128867605,-3.99915359,36.59546793,3.208084948,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,2,2,15.06333333,14.57,9.24,9.67,39.3,14.4,6.540792658,0.23788982,Node4,Pyrocephalus_rubinus,Tyrannus_forficatus,1.001996164,0.699086296,1,1,0,10.29180903,0.042012691,0
11,Scissor-tailed Flycatcher,Yellow-throated Warbler,Tyrannus_forficatus,Dendroica_dominica,Tyrannidae,Parulidae,0,0,0.302396196,0.143196779,1.013169419,0.005075927,-1.876032047,0.022905083,-4.194656046,133.7232911,2.895833334,insectivoreairsallier,NA,NA,insectivoreuppercanopygleaner,insectivorebarkgleaner,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.06333333,14.57,13.69,13.6618641,39.3,9.7,9.264235844,0.258393999,Node2,Tyrannus_forficatus,Dendroica_dominica,1.182834998,0.309189093,0,1,0,8.385850698,0.091443459,0
12,Scissor-tailed Flycatcher,Pine Warbler,Tyrannus_forficatus,Dendroica_pinus,Tyrannidae,Parulidae,0,0,0.234155323,0.067597548,0.745854387,0.017766165,-2.55621945,-0.279906531,-3.583937086,133.723291,3.125,insectivoreairsallier,NA,NA,insectivorebarkgleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.06333333,14.57,12.05,11.575,39.3,11.9,10.58544842,0.316089631,Node2,Tyrannus_forficatus,Dendroica_pinus,1.09301698,0.472439281,0,1,0,9.765625,0.054828715,0
13,Scissor-tailed Flycatcher,Louisiana Waterthrush,Tyrannus_forficatus,Seiurus_motacilla,Tyrannidae,Parulidae,0,0,0.329965026,0.027412281,0.133098303,0.00160484,-3.285756259,-1.944223451,-4.456333027,133.723291,3.65,insectivoreairsallier,NA,NA,insectivorefreshwatershoregleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.06333333,14.57,13.2,13.5,39.3,19.9,9.450742063,0.175557308,Node2,Tyrannus_forficatus,Seiurus_motacilla,0.824927141,0.363382312,0,1,0,13.3225,0.108876918,0
14,Scissor-tailed Flycatcher,Common Yellowthroat,Tyrannus_forficatus,Geothlypis_trichas,Tyrannidae,Parulidae,0,0,0.682774288,0.231346431,0.973028585,0.010596078,-1.421521905,-0.01711708,-3.88265461,133.7232911,3.916666667,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,2,2,15.06333333,14.57,11.08717949,9.25,39.3,9.45,11.27071073,0.448886755,Node2,Geothlypis_trichas,Tyrannus_forficatus,1.193821501,0.553601025,0,1,0,15.34027778,0.466180728,0
15,Scissor-tailed Flycatcher,Yellow-breasted Chat,Tyrannus_forficatus,Icteria_virens,Tyrannidae,Parulidae,0,0,0.523490884,0.073722304,0.457496018,0.012308501,-2.480249861,-0.760364448,-3.802787462,133.7232911,3.520833334,insectivoreairsallier,NA,NA,omnivorelowercanopyforager,NA,NA,0,0,0,0,0,no,no,0,5,3,0,2,3,3,15.06333333,14.57,14.1,14.41747285,39.3,27.65,3.418383466,0.154906237,Node2,Tyrannus_forficatus,Icteria_virens,0.592957664,0.257077298,0,1,0,12.39626737,0.274042706,0
16,Eastern Kingbird,Western Kingbird,Tyrannus_tyrannus,Tyrannus_verticalis,Tyrannidae,Tyrannidae,1,1,0.573980149,0.46894736,2.200627761,0.109738355,-0.736164583,0.79327653,-2.122446292,15.60071366,2.5,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,4,0,2,1,2,15.425,13.7,18.3,17.3,42.2,39.6,6.138758232,0.128543583,Node27,Tyrannus_verticalis,Tyrannus_tyrannus,0.252172764,0.413414429,1,1,0,6.25,0.329453211,0
17,Eastern Kingbird,Say's Phoebe,Tyrannus_tyrannus,Sayornis_saya,Tyrannidae,Tyrannidae,0,0,0.442600719,0.156537642,2.227503921,0.022927609,-1.792533917,0.805360924,-3.413443794,36.59546793,2.715277778,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,1,2,15.425,13.7,15.7,14.4,42.2,20.9,9.105477827,0.112971044,Node4,Sayornis_saya,Tyrannus_tyrannus,0.838254772,0.13293285,1,1,0,7.372733412,0.195895396,0
18,Eastern Kingbird,Eastern Wood-Pewee,Tyrannus_tyrannus,Contopus_virens,Tyrannidae,Tyrannidae,0,0,0.946082177,0.271294108,1.107583434,0.023342347,-1.268354509,0.111168706,-3.400927008,36.59546794,2.8125,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.425,13.7,12.9,11.7,37.65,13.9,10.18496152,0.023586905,Node4,Tyrannus_tyrannus,Contopus_virens,0.998220474,0.42280286,1,1,0,7.91015625,0.895071486,0
19,Eastern Kingbird,Acadian Flycatcher,Tyrannus_tyrannus,Empidonax_virescens,Tyrannidae,Tyrannidae,0,0,0.905055139,0.017603536,0.441734414,0.005640591,-3.589811399,-0.794660851,-4.157885757,36.59546793,3.333333333,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.425,13.7,12.4,10.34418587,37.65,12.6,15.82654028,0.068962132,Node4,Tyrannus_tyrannus,Empidonax_virescens,1.046248603,0.467218468,1,1,0,11.11111111,0.819124805,0
20,Eastern Kingbird,Willow Flycatcher,Tyrannus_tyrannus,Empidonax_traillii,Tyrannidae,Tyrannidae,0,0,0.760758816,0.321948401,6.830573205,0.030666698,-1.102775741,1.92287153,-3.202345752,36.59546793,2.785714286,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,2,2,15.425,13.7,11.3,12.27820939,40.68333333,13.4,7.177927978,0.217552474,Node4,Tyrannus_tyrannus,Empidonax_traillii,1.053832909,0.557841236,1,1,0,7.760204083,0.578753976,0
21,Eastern Kingbird,Alder Flycatcher,Tyrannus_tyrannus,Empidonax_alnorum,Tyrannidae,Tyrannidae,0,0,0.636456265,0.122372426,2.369019332,0.017659635,-2.02213592,0.866688357,-3.587781149,36.59546793,2.9375,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,2,2,15.425,13.7,11.2690027,11.24013975,40.68333333,12.7,7.305244251,0.127875172,Node4,Tyrannus_tyrannus,Empidonax_alnorum,1.078988654,0.5602979,1,1,0,8.62890625,0.405076577,0
22,Eastern Kingbird,Least Flycatcher,Tyrannus_tyrannus,Empidonax_minimus,Tyrannidae,Tyrannidae,0,0,0.821780212,0.283214253,2.389908757,0.038341405,-1.226851698,0.875430719,-3.029466839,36.59546794,2.9375,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,5,5,1,2,3,3,15.425,13.7,9.8,9.9,39.925,10,5.151535945,0.305148713,Node4,Empidonax_minimus,Tyrannus_tyrannus,1.176612766,0.673503663,1,1,0,8.62890625,0.675322717,0
23,Eastern Kingbird,Blue-winged Warbler,Tyrannus_tyrannus,Vermivora_pinus,Tyrannidae,Parulidae,0,0,0.979457771,0.047923135,0.535670721,0.005601954,-2.848638406,-0.60573956,-4.160359116,133.723291,3.25,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,2,2,15.425,13.7,11.36182093,11.21750617,37.65,8.9,7.7313515,0.379628463,Node2,Vermivora_pinus,Tyrannus_tyrannus,1.200950323,0.552929359,0,1,0,10.5625,0.959337525,0
24,Eastern Kingbird,Golden-winged Warbler,Tyrannus_tyrannus,Vermivora_chrysoptera,Tyrannidae,Parulidae,0,0,0.96791956,0.028236292,0.26928032,0.004178596,-3.263970162,-1.27553927,-4.256021775,133.723291,2.75,insectivoreairsallier,NA,NA,insectivoreuppercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,2,2,15.425,13.7,11.29,11.21,37.65,8.75,8.343473345,0.327453912,Node2,Tyrannus_tyrannus,Vermivora_chrysoptera,1.208006314,0.55863422,0,1,0,7.5625,0.936868275,0
25,Eastern Kingbird,Northern Parula,Tyrannus_tyrannus,Parula_americana,Tyrannidae,Parulidae,0,0,0.926101829,0.070917133,0.393807103,0.003525706,-2.514329697,-0.906817983,-4.303163256,133.7232911,3.366071429,insectivoreairsallier,NA,NA,insectivoreuppercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,9.764492784,9.620178025,37.65,7.5,6.883558038,0.485375815,Node2,Parula_americana,Tyrannus_tyrannus,1.270208618,0.676192982,0,1,0,11.33043687,0.857664598,0
26,Eastern Kingbird,Yellow Warbler,Tyrannus_tyrannus,Dendroica_petechia,Tyrannidae,Parulidae,0,0,0.786514596,0.251670754,2.745238825,0.063563316,-1.34066823,1.013504127,-2.609608801,133.7232911,3.648809524,insectivoreairsallier,NA,NA,insectivorelowercanopy/shrubgleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,10.82633614,10.68562925,39.16666667,9.4,6.317976553,0.384714371,Node2,Dendroica_petechia,Tyrannus_tyrannus,1.194619754,0.594985607,0,1,0,13.31381094,0.61860521,0
27,Eastern Kingbird,(Myrtle Warbler) Yellow-rumped Warbler,Tyrannus_tyrannus,Dendroica_coronata,Tyrannidae,Parulidae,0,0,0.608728856,0.075563035,0.726362187,0.009611387,-2.458501923,-0.306033179,-3.931644912,133.7232911,2.205357143,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,9.586111111,9.4,37.65,11.8,8.103207222,0.244199383,Node2,Dendroica_coronata,Tyrannus_tyrannus,1.07714132,0.689691437,0,1,0,4.863600128,0.37055082,0
28,Eastern Kingbird,Magnolia Warbler,Tyrannus_tyrannus,Dendroica_magnolia,Tyrannidae,Parulidae,0,0,0.732614781,0.049072648,0.559653912,0.003512361,-2.82898727,-0.562726274,-4.304150383,133.7232911,3.125,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,insectivoregroundgleaner,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,9.414285714,8.87,37.65,8.15,8.532752736,0.300624783,Node2,Dendroica_magnolia,Tyrannus_tyrannus,1.237059023,0.702681491,0,1,0,9.765625,0.536724417,0
29,Eastern Kingbird,Chestnut-sided Warbler,Tyrannus_tyrannus,Dendroica_pensylvanica,Tyrannidae,Parulidae,0,0,0.895549156,0.054345032,0.438360087,0.011245102,-2.743495551,-0.802158604,-3.851628904,133.7232911,3.104166667,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,9.783333334,9.4,37.65,9.3,7.480896799,0.434007039,Node2,Dendroica_pensylvanica,Tyrannus_tyrannus,1.182505203,0.674766117,0,1,0,9.635850697,0.802008291,0
30,Eastern Kingbird,Blackburnian Warbler,Tyrannus_tyrannus,Dendroica_fusca,Tyrannidae,Parulidae,0,0,0.795803258,0.011024446,0.181843072,0.002680057,-3.862069423,-1.651077574,-4.367724835,133.7232911,3.258928572,insectivoreairsallier,NA,NA,insectivoreuppercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,9.9,11.10980392,37.65,9.75,6.892738945,0.333126218,Node2,Dendroica_fusca,Tyrannus_tyrannus,1.162353504,0.665924029,0,1,0,10.62061544,0.633302825,0
31,Eastern Kingbird,Yellow-throated Warbler,Tyrannus_tyrannus,Dendroica_dominica,Tyrannidae,Parulidae,0,0,0.934827178,0.038660941,0.697423673,0.009983709,-3.022878604,-0.346125538,-3.912837887,133.7232911,2.8125,insectivoreairsallier,NA,NA,insectivoreuppercanopygleaner,insectivorebarkgleaner,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,13.69,13.6618641,39.16666667,9.7,6.576705807,0.318304289,Node2,Tyrannus_tyrannus,Dendroica_dominica,1.181397545,0.345432961,0,1,0,7.91015625,0.873901853,0
32,Eastern Kingbird,Black-throated Green Warbler,Tyrannus_tyrannus,Dendroica_virens,Tyrannidae,Parulidae,0,0,0.823062683,0.02203949,0.215306431,0.003980972,-3.440786075,-1.490293888,-4.270058017,133.7232911,3.276785715,insectivoreairsallier,NA,NA,insectivoreuppercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,12.8,12.7,37.65,8.7,8.463340035,0.349639942,Node2,Dendroica_virens,Tyrannus_tyrannus,1.210375945,0.431907859,0,1,0,10.73732462,0.67743218,0
33,Eastern Kingbird,Pine Warbler,Tyrannus_tyrannus,Dendroica_pinus,Tyrannidae,Parulidae,0,0,0.922320624,0.072984885,0.500943517,0.012605779,-2.489096796,-0.671496229,-3.789549697,133.7232911,3.3125,insectivoreairsallier,NA,NA,insectivorebarkgleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,12.05,11.575,38.7875,11.375,7.683440478,0.259667767,Node2,Tyrannus_tyrannus,Dendroica_pinus,1.107555897,0.496915395,0,1,0,10.97265625,0.850675333,0
34,Eastern Kingbird,Prairie Warbler,Tyrannus_tyrannus,Dendroica_discolor,Tyrannidae,Parulidae,0,0,0.952663615,0.092938507,1.208214607,0.037819023,-2.273623488,0.19738635,-3.040331748,133.7232911,3.642857143,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,2,2,15.425,13.7,10.1,9.8,37.65,7.65,7.378852988,0.39358402,Node2,Tyrannus_tyrannus,Dendroica_discolor,1.262389522,0.650733545,0,1,0,13.27040816,0.907567963,0
35,Eastern Kingbird,Kentucky Warbler,Tyrannus_tyrannus,Oporornis_formosus,Tyrannidae,Parulidae,0,0,0.918135869,0.004347599,0.10520313,0.001467464,-4.244172668,-2.161058361,-4.468241471,133.7232911,3.8125,insectivoreairsallier,NA,NA,insectivoregroundgleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,11.8,11.62021596,37.65,14,9.369003991,0.115180829,Node2,Tyrannus_tyrannus,Oporornis_formosus,0.994623358,0.517580949,0,1,0,14.53515625,0.842973474,0
36,Eastern Kingbird,Common Yellowthroat,Tyrannus_tyrannus,Geothlypis_trichas,Tyrannidae,Parulidae,0,0,0.938732692,0.26106069,3.093752273,0.056037564,-1.305412535,1.13261179,-2.717531547,133.7232911,3.502083334,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,2,2,15.425,13.7,11.08717949,9.25,42.2,9.45,8.972497613,0.288966262,Node2,Tyrannus_tyrannus,Geothlypis_trichas,1.223276534,0.574630429,0,1,0,12.26458768,0.881219067,0
37,Eastern Kingbird,Hooded Warbler,Tyrannus_tyrannus,Wilsonia_citrina,Tyrannidae,Parulidae,0,0,0.941172182,0.020648652,0.230813743,0.00283369,-3.485166598,-1.423731495,-4.355681535,133.7232911,3.472222222,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,insectivoreairsallier,NA,1,1,1,3,0.666666667,no,no,0,5,5,1,2,3,3,15.425,13.7,10,10,37.65,10.55,10.00399764,0.276071728,Node2,Tyrannus_tyrannus,Wilsonia_citrina,1.127921582,0.658334624,0,1,0,12.05632716,0.885805076,0
38,Eastern Kingbird,American Redstart,Tyrannus_tyrannus,Setophaga_ruticilla,Tyrannidae,Parulidae,0,0,0.881744362,0.099791286,1.124796808,0.01733442,-2.209174116,0.126453611,-3.599608565,133.7232911,3.208333333,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,insectivoreairsallier,NA,1,1,1,3,0.666666667,no,no,0,5,5,1,2,3,3,15.425,13.7,8.5,8.8,38.3,8.25,8.262094934,0.37307085,Node2,Tyrannus_tyrannus,Setophaga_ruticilla,1.239046688,0.771960754,0,1,0,10.29340278,0.77747312,0
39,Eastern Kingbird,Golden-crowned Kinglet,Tyrannus_tyrannus,Regulus_satrapa,Tyrannidae,Regulidae,0,0,0.569081852,0.006407407,0.155349696,0.00103853,-4.1100224,-1.799692678,-4.506363399,133.723291,3.638888889,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,5,5,1,2,3,3,15.425,13.7,6.88,6.88,37.65,6.2,6.132474956,0.14781366,Node2,Regulus_satrapa,Tyrannus_tyrannus,1.343050134,0.898538212,0,1,0,13.24151235,0.323854154,0
40,Thick-billed Kingbird,Black-throated Gray Warbler,Tyrannus_crassirostris,Dendroica_nigrescens,Tyrannidae,Parulidae,0,0,0.351955418,0.003672941,0.003152607,5.93E-05,-4.292336509,-4.331135289,-4.599255035,133.7232911,3.324242425,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,4,5,0,3,3,3,26.7,24.8,9.1,9.1,55.9,8.7,12.63701289,0.278506925,Node2,Tyrannus_crassirostris,Dendroica_nigrescens,1.363906652,1.03749176,0,1,0,11.0505877,0.123872616,0
41,Thick-billed Kingbird,Bridled Titmouse,Tyrannus_crassirostris,Baeolophus_wollweberi,Tyrannidae,Paridae,0,0,0.696056517,0.071428571,0.903614458,0.014705882,-2.508029072,-0.090346615,-3.700713926,133.723291,2.65,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,yes,0,4,5,0,3,3,3,26.7,24.8,9.42,9.42,55.9,10.4,13.83975124,0.258253834,Node2,Tyrannus_crassirostris,Baeolophus_wollweberi,1.296826347,1.020699994,0,0,0,7.0225,0.484494675,0
42,Thick-billed Kingbird,Bushtit,Tyrannus_crassirostris,Psaltriparus_minimus,Tyrannidae,Aegithalidae,0,0,0.732098929,0.071428571,1.630434783,0.023076923,-2.508029072,0.494961318,-3.40891943,133.723291,2.679166667,insectivoreairsallier,NA,NA,insectivorelowercanopygleaner,NA,NA,1,0,0,1,0.333333333,no,no,0,4,4,1,3,3,3,26.7,24.8,7.61,8.12,55.9,5.3,15.58895077,0.293659264,Node2,Psaltriparus_minimus,Tyrannus_crassirostris,1.534880308,1.120357262,0,0,0,7.17793403,0.535968842,0
43,Western Kingbird,Cassin's Kingbird,Tyrannus_verticalis,Tyrannus_vociferans,Tyrannidae,Tyrannidae,1,0,0.737627823,0.170742009,1.734146786,0.034832639,-1.710684629,0.556265488,-3.104818856,15.60071366,0.75,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,no,0,4,4,1,1,3,3,18.3,17.3,19.75,18.3,39.6,45.6,5.172985135,0.443291099,Node27,Tyrannus_verticalis,Tyrannus_vociferans,0.375604311,0.276138428,1,1,0,0.5625,0.544094805,0
44,Western Kingbird,Sulphur-bellied Flycatcher,Tyrannus_verticalis,Myiodynastes_luteiventris,Tyrannidae,Tyrannidae,0,0,0.613514042,0.022222222,0.769230769,0.008333333,-3.43509894,-0.249448039,-3.999034401,20.43791372,3.166666667,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,yes,0,4,4,1,1,3,3,18.3,17.3,24,23.8,39.6,46.9,6.579418006,0.409973589,Node26,Tyrannus_verticalis,Myiodynastes_luteiventris,0.411325367,0.520723315,1,1,0,10.02777778,0.37639948,0
45,Western Kingbird,Great Crested Flycatcher,Tyrannus_verticalis,Myiarchus_crinitus,Tyrannidae,Tyrannidae,0,0,0.20453112,0.183209414,1.019421783,0.01229574,-1.643980632,0.028997269,-3.80335965,28.79781301,2.25,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,yes,0,4,5,0,1,3,3,18.3,17.3,18.72773102,18.50765101,39.6,32.1,7.781887361,0.471015359,Node22,Tyrannus_verticalis,Myiarchus_crinitus,0.458228205,0.152001012,1,1,0,5.0625,0.041832979,0
46,Western Kingbird,Brown-crested Flycatcher,Tyrannus_verticalis,Myiarchus_tyrannulus,Tyrannidae,Tyrannidae,0,0,0.09249754,0.149251348,1.573798346,0.030463865,-1.83727152,0.459825978,-3.207345925,28.79781301,1.964285714,insectivoreairsallier,NA,NA,insectivoreairsallier,NA,NA,1,1,1,3,1,no,yes,0,4,5,0,1,3,3,18.3,17.3,21.6,20.9,39.6,43.8,8.727006139,0.443208925,Node22,Tyrannus_verticalis,Myiarchus_tyrannulus,0.317497558,0.407175951,1,1,0,3.858418366,0.008555795,0
47,Western Kingbird,Ash-throated Flycatcher,Tyrannus_verticalis,Myiarchus_cinerascens,Tyrannidae,Tyrannidae,0,0,0.823704577,0.267487367,1.030700419,0.063279689,-1.281979871,0.039893966,-2.613471803,28.79781301,2.9375,insectivoreairsallier,NA,NA,insectivoreairsallier,insectivorelowercanopygleaner,NA,1,1,1,3,0.666666667,no,yes,0,4,5,0,1,3,3,18.3,17.3,19.3,18.8,39.6,28.2,8.847413606,0.332518619,Node22,Tyrannus_verticalis,Myiarchus_cinerascens,0.582672413,0.230660001,1,1,0,8.62890625,0.67848923,0
